80 0,420960 2 2 241 1
80 3,390375 3 2 295 1
80 3,394303 2 2 241 1
80 0,395464 3 2 305 1
80 0,415228 3 2 296 1
80 0,834659 2 2 241 1
80 0,407126 3 2 296 1
80 0,408145 3 2 302 1
80 0,377590 3 2 296 1
80 0,376518 3 2 296 1
80 0,391068 3 2 296 1
80 0,395074 3 2 296 1
80 1,392613 7 8 241 9521
80 0,390011 3 2 493 1
80 0,389697 2 2 241 1
80 0,401816 3 2 312 1
80 0,404237 3 2 312 1
80 0,406802 3 2 312 1
80 0,397175 3 2 357 1
80 0,393686 3 2 377 1
80 0,394503 3 3 337 173
80 0,399831 3 2 338 1
80 0,401511 3 2 296 1
80 0,404212 3 2 509 1
80 0,405301 3 2 345 1
80 1,245990 6 7 241 8161
80 0,408778 2 1 241 1
80 6,188834 4 2 582 173
80 3,315717 1 3 0 2680
80 0,414981 3 2 310 1
80 4,794003 2 2 241 1
80 0,416649 3 2 525 1
80 0,435395 2 2 241 1
80 0,416120 3 2 310 1
80 6,764766 8 12 1036 14992
80 0,416620 3 2 316 1
80 2,930365 2 2 241 1
80 0,410725 3 2 345 1
80 0,421473 2 2 241 1
80 8,529758 2 3 491 229
80 2,495330 2 2 465 1
80 1,393283 6 7 482 8161
80 0,497260 1 2 0 1217
80 20,032482 2 3 241 1
80 0,409672 2 1 241 1
80 29,973679 3 5 329 2971
80 54,200752 5 4 1168 443
80 29,950632 5 9 419 8906
80 29,950581 2 3 420 222
80 32,436115 2 3 635 222
80 0,421654 3 2 286 1
80 4,816751 2 2 241 1
80 29,827637 2 3 476 222
80 0,001493 1 0 0 0
80 0,006751 4 1 4380 1
139 0,020474 7 6 592 543
80 126,314995 5 3 1047 289
80 122,712837 14 11 5387 2801
80 121,091415 6 4 1703 591
80 120,502502 3 2 565 1
80 126,709824 7 5 1042 3753
80 121,601929 3 2 553 1
80 124,594749 3 2 556 1
139 0,001948 1 0 0 0
139 0,007348 2 1 72 1
139 0,006721 2 1 72 1
139 60,313225 11 8 957 761
80 0,604592 2 3 595 2897
80 0,106569 1 4 0 1436
80 0,198315 1 3 0 1461
80 0,116076 8 6 1042 5793
80 0,524771 1 2 0 686
80 1,491613 7 7 806 8689
139 0,002768 1 0 0 0
445 0,024069 1 2 0 6
80 15,007458 2 2 151 244
80 0,591006 2 4 595 2897
80 0,098506 1 4 0 483
80 0,094938 1 4 0 498
80 0,171479 1 7 0 5793
80 1,408832 8 5 726 5793
80 0,505259 1 2 0 707
80 1,332907 11 16 547 20399
139 0,022847 7 6 598 547
139 0,002012 1 0 0 0
445 0,028623 1 2 0 6
139 602,737427 15 13 1592 1001
80 0,599894 2 4 595 2792
80 0,116055 1 4 0 1436
80 0,301585 1 3 0 562
80 0,534826 1 2 0 686
80 0,228140 6 8 805 7241
80 0,280741 1 3 0 164
10000 0,396580 1 0 0 0
80 15,003087 2 2 151 244
139 60,088573 20 17 2432 1661
10000 0,488660 1 3 0 1480
10000 0,476101 1 3 0 1480
10000 0,499357 1 2 0 30
10000 0,505683 1 2 0 30
80 1,255773 6 10 630 11585
80 0,108923 4 1 504 1
80 0,133892 1 2 0 201
80 0,165187 3 7 589 5793
80 0,296098 1 3 0 231
80 0,211644 3 3 1285 514
80 0,565365 2 3 652 747
80 1,170703 1 3 0 918
80 1,181692 6 12 895 10137
80 0,751324 2 4 594 2897
80 0,107861 1 2 0 1
80 0,105562 2 3 777 1
80 0,164915 4 8 725 8689
80 1,203514 5 9 750 10137
80 0,568727 1 2 0 686
80 17,292875 4 5 2211 1070
80 0,471856 2 4 595 2792
80 0,118480 1 4 0 1436
80 0,305162 1 3 0 562
80 0,179847 5 7 806 5793
80 0,537636 1 2 0 1039
80 0,295798 1 3 0 164
80 1,038768 7 10 706 11731
139 0,021855 7 6 591 343
80 0,507177 2 4 595 2897
80 0,086160 1 4 0 484
80 0,084318 1 4 0 480
80 0,258301 1 3 0 562
80 0,120208 3 6 726 4345
80 0,159663 4 8 726 7241
80 0,292003 1 3 0 164
139 0,018568 8 8 1007 765
80 0,002706 1 0 0 0
80 0,009077 4 1 4380 1
80 0,120513 2 3 352 144
80 0,116446 2 3 352 144
80 0,116383 2 3 352 144
80 0,103766 2 3 352 144
80 0,119501 2 3 352 144
80 0,128594 2 3 352 144
139 0,020063 7 6 591 343
139 0,020010 9 8 949 765
80 0,113398 2 3 352 144
139 0,025684 9 8 957 765
80 11,011277 7 6 620 10221
80 0,112443 2 3 352 144
80 0,235877 1 3 0 746
80 0,242600 3 7 589 8689
80 1,926626 9 9 620 17377
80 1,255598 1 3 0 918
80 0,119044 1 3 0 2173
80 0,130145 1 2 0 201
80 0,316351 1 3 0 231
80 0,219483 3 3 1283 514
80 1,210723 6 11 897 10137
80 0,795286 2 4 594 2897
80 0,111070 1 3 0 1461
80 0,120399 1 4 0 498
80 1,292472 5 9 760 10137
80 0,105792 10 16 1031 20273
80 0,215863 4 9 725 8689
80 3,504489 1 3 0 1
80 3,156075 5 6 804 5793
80 0,546941 2 4 595 2897
80 0,107642 1 4 0 483
80 18,442478 5 5 2241 1070
80 0,526630 1 2 0 686
80 3,123825 3 7 726 5793
80 3,117624 1 2 0 973
80 0,179744 5 7 578 10137
80 0,653346 2 4 595 2897
80 0,111339 1 4 0 480
80 0,231691 5 9 726 10137
80 0,537251 1 2 0 712
80 0,524278 1 2 0 1039
80 1,053484 5 7 706 7386
139 0,022684 7 6 592 606
139 0,020817 8 8 1017 830
80 3,523741 1 3 0 2897
445 10,027981 2 5 137 516
80 0,516202 1 2 0 688
80 0,110462 1 4 0 1436
80 0,617900 2 4 613 1928
80 1,290222 8 12 547 14607
80 0,423582 1 2 0 440
80 1,529491 6 6 806 5793
80 0,517288 2 2 623 686
80 3,517274 2 0 624 0
80 2,424923 2 3 617 487
80 17,739750 7 10 527 10392
80 0,594246 2 4 595 2897
80 0,115096 1 4 0 484
80 0,536746 1 2 0 686
80 1,057488 1 1 0 1
80 1,501001 6 8 726 10137
80 2,312850 14 20 547 26191
