80 1816,208740 851 1107 142868 739842
80 1816,638794 852 1109 142868 741057
80 1817,242065 854 1113 143463 743954
80 1817,337036 855 1117 143463 745390
80 1817,854126 856 1119 143463 746102
80 1818,375977 857 1121 143463 747141
80 1819,771362 864 1128 144269 755830
80 1820,791382 871 1138 144975 767561
80 1821,363159 873 1142 145570 770458
80 1821,481812 874 1144 145570 771520
80 1821,591797 876 1148 146148 775279
80 1822,121094 877 1150 146148 776318
80 1823,431885 878 1153 146148 776319
80 1823,621460 882 1161 146874 783560
80 1824,666870 887 1168 147580 790946
139 1008,100281 226 249 15997 12478
80 1839,672241 889 1170 147731 791190
80 1840,119263 891 1174 148343 792974
80 1857,319946 902 1191 148869 813578
80 1857,873413 904 1195 149464 816475
80 1859,401367 905 1198 149464 816476
80 1859,542236 909 1207 150190 825165
80 1863,237183 910 1209 150190 825780
80 1863,710327 912 1213 150809 827756
80 1863,876831 913 1215 150809 828625
80 1863,955566 914 1218 150809 831282
80 2264,899170 1016 1278 187460 869088
139 1008,102539 227 249 15997 12478
445 178,694504 61 124 137 871
139 1008,124390 234 255 16588 12821
80 2279,908936 1018 1280 187611 869332
80 2280,468750 1020 1284 188206 872229
80 2280,560059 1021 1286 188206 872230
80 2280,650391 1022 1289 188206 872713
80 2280,749756 1031 1293 188890 875610
80 2280,910156 1034 1300 189616 881403
80 2281,445068 1035 1302 189616 882040
80 2282,012451 1037 1306 190211 884937
80 2282,085449 1038 1309 190211 886398
80 2282,152832 1039 1313 190211 886878
80 2282,263672 1042 1319 190937 891223
80 2282,351318 1048 1329 191976 902808
80 2282,865967 1049 1331 191976 903847
80 2283,885498 1054 1338 192682 911233
80 2284,319824 1055 1341 192682 912456
139 1008,126404 235 255 16588 12821
445 178,713638 62 126 137 877
3128 6,831752 1 2 0 1407
139 1049,492310 245 263 17545 13582
80 2604,590576 1148 1363 223198 924298
80 2604,780518 1149 1366 223198 925044
80 2605,020020 1153 1374 223809 932285
80 2605,142090 1154 1377 223809 934458
80 2605,364746 1157 1380 225227 934972
80 2605,835205 1158 1383 225227 935173
80 2606,135742 1159 1385 225227 935404
80 2608,153809 1168 1397 226156 949885
80 2612,604004 1169 1399 226156 950803
80 2613,348633 1171 1402 226750 953595
80 2615,012207 1176 1411 227497 963732
80 2615,123779 1177 1414 227497 965168
80 2615,301514 1182 1421 228302 970961
80 2615,599121 1183 1424 228302 971523
80 2616,150635 1184 1426 228302 972562
80 2616,448486 1185 1429 228302 972726
80 2617,514893 1190 1436 229008 980112
80 2634,747559 1195 1443 230512 985821
80 2635,346436 1197 1447 231107 988718
80 2635,464355 1198 1451 231107 989198
80 2635,579346 1200 1452 231751 989199
80 2635,827881 1206 1461 232329 1000784
139 1049,515015 252 269 18137 14188
80 2638,970459 1209 1467 233055 1005129
80 2642,493896 1210 1469 233055 1005802
80 2643,053955 1212 1473 233650 1008699
80 2643,163086 1213 1477 233650 1010135
80 2643,279785 1218 1484 234456 1015928
80 2643,792969 1219 1486 234456 1016570
80 2644,303955 1220 1488 234456 1017185
80 2644,890625 1222 1492 235051 1020082
80 2644,994873 1223 1496 235051 1020566
80 2645,524658 1224 1498 235051 1021210
80 2646,051758 1225 1500 235051 1021894
80 2647,616699 1228 1505 235599 1026364
80 2647,840332 1232 1513 236325 1033605
139 1049,526733 260 277 19154 15018
445 183,328613 67 129 880 1289
80 2648,388672 1233 1517 236325 1036397
80 2648,677002 1234 1520 236325 1036959
80 2649,202148 1235 1522 236325 1037632
80 2649,507812 1236 1525 236325 1037796
